keys,en
"宫廷","Court"
"宫廷礼制","Court Rites"
"寺院","Monastery"
"山地","Mountain"
"市场","Market"
"平原","Plains"
"建筑回合事件","Building Turn Event"
"弓兵","Archer"
"弓术纪律","Archery Discipline"
"意志生还","Will Survival"
"战争法典","War Codex"
"战马驯养","Warhorse Breeding"
"拓荒精神","Frontier Spirit"
"政令","Decree"
"文化","Culture"
"日志","Log"
"时段","Time of Day"
"月之子","Moon Child"
"月相","Moon Phase"
"木寨","Wooden Stockade"
"木材","Wood"
"林道","Forest Path"
"标志建筑","Landmark"
"森林","Forest"
"步兵","Infantry"
"武备传统","Martial Tradition"
"民间史诗","Folk Epic"
"法师塔","Mage Tower"
"法师盟约","Mage Coven"
"火球术","Fireball"
"猎手之弓","Hunter's Bow"
"玩家首都","Player Capital"
"生命护符","Vital Charm"
"疾行靴","Speed Boots"
"石堡","Stone Fort"
"石材","Stone"
"神学","Theology"
"神庙","Temple"
"祭司","Priest"
"科技","Tech"
"科技文化","Tech & Culture"
"秘仪","Mystic Rite"
"秘术研习","Arcane Practice"
"秘法法杖","Mage Staff"
"纪念碑","Monument"
"统帅光环","Commander Aura"
"胜负","Victory"
"自由","Liberty"
"英雄叙事","Heroic Saga"
"补给","Supply"
"要塞","Citadel"
"路口","Crossroads"
"近战","Melee"
"远程","Ranged"
"道德","Morality"
"采石场","Quarry"
"采矿术","Mining"
"金币","Gold"
"铁壁之盾","Iron Shield"
"铁矿","Iron"
"铁矿场","Iron Mine"
"铁躯","Iron Body"
"锻造屋","Forge"
"锻造文化","Forge Culture"
"锻造术","Smithing"
"阵亡","Fallen"
"隘口","Mountain Pass"
"霜守","Frost Warden"
"靶场","Archery Range"
"食物","Food"
"马厩","Stable"
"骑兵","Cavalry"
"骑兵冲锋","Cavalry Charge"
"骑兵战旗","Cavalry Banner"
"骑兵群","Cavalry Band"
"骑兵贵族","Cavalry Nobility"
"骑士王","Knight King"
"魔力恢复","Mana Regen"
"魔法","Magic"
"魔法师","Mage"
"魔石","Mana Stone"
"魔石矿","Mana Mine"
"龙鳞甲","Dragon Scale"
"（无）","(none)"
"neutral","Neutral"
"no_artifact_avail","No artifacts available in stock"
"招兵","Recruit Units"
"据点","Stronghold"
"日历","Calendar"
"day","Day"
"清晨","Dawn"
"白天","Day"
"黄昏","Dusk"
"夜晚","Night"
"深夜","Late Night"
"新月","New Moon"
"满月","Full Moon"
"残月","Waning Moon"
"渐盈","Waxing"
"渐亏","Waning"
"月相","Moon"

log,Log
settings,Settings
tech_culture,Tech / Culture
squad,Squads
tech,Tech
culture,Culture
you,You
none,-
not_yours,Not yours (view only)
click_build,Click to open build options
click_x_demolish,Click the red × to demolish
building_slots,Building Slots
click_empty_close,Click outside to close
army_selected,Selected
move_cancel,Selection cancelled
in_army,In Army
select_unit,Select a unit
stats,Stats
equipment,Equipment
strategy,Strategy
target_pref,Target pref
active_zone,Active zone
passive_zone,Passive zone
cur_hp,HP
discharge,Discharge
deploy,Deploy
deploy_to,Deploy to:
no_deploy_target,No army with empty slots at own strongholds
click_unequip,Click to unequip
click_equip,Click to equip
disband,Disband
drag_hint,Drag to pan
wheel_hint,Wheel to scroll
press_key_hint,Press a key (ESC to cancel)
keybound,Bound to
keybind_fail,Rebind failed
keybindings,Keybindings (click to rebind)
log_empty,No logs yet
close,Close
learned,Learned
learn,Learn
hint_recruit_unit,Recruit unit
hint_unit,Units
hint_stronghold_overview,Stronghold overview
hint_inventory,Inventory
hint_new_army,New army
hint_lang,Language
slot,Slot
column,Column
save_game,Save game
plains,Plains
mountain,Mountain
forest,Forest
units,Units
attack,[Attack]

无地标,No landmark
弱地标,Weak landmark
中地标,Medium landmark
强地标,Strong landmark
